,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,win,loss,tie
424,0.0,0.0,0.0,9.0,8.0,19.0,19.0,1.0,22.0,22.0,409,522,6
425,1.0,1.0,1.0,1.0,12.0,20.0,20.0,18.0,20.0,6.0,401,528,8
426,6.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,622,294,21
427,1.0,19.0,1.0,1.0,19.0,19.0,1.0,1.0,19.0,19.0,333,576,28
428,0.0,0.0,2.0,9.0,15.0,6.0,5.0,6.0,35.0,22.0,658,264,15
429,10.0,10.0,10.0,10.0,20.0,20.0,20.0,0.0,0.0,0.0,441,472,24
431,0.0,0.0,0.0,0.0,0.0,18.0,19.0,20.0,21.0,22.0,372,559,6
432,1.0,1.0,1.0,19.0,19.0,1.0,1.0,19.0,19.0,19.0,408,519,10
433,5.0,7.0,9.0,15.0,18.0,22.0,24.0,0.0,0.0,0.0,553,357,27
434,0.0,5.0,5.0,15.0,15.0,15.0,15.0,15.0,15.0,0.0,233,675,29
435,5.0,5.0,10.0,16.0,16.0,20.0,25.0,1.0,1.0,1.0,578,347,12
436,0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,729,193,15
437,5.0,7.0,8.0,13.0,17.0,21.0,26.0,1.0,1.0,1.0,629,287,21
438,0.0,0.0,15.0,0.0,0.0,20.0,0.0,0.0,33.0,32.0,655,275,7
439,4.0,7.0,11.0,14.0,18.0,21.0,25.0,0.0,0.0,0.0,521,371,45
440,4.0,4.0,4.0,4.0,10.0,25.0,25.0,20.0,2.0,2.0,541,378,18
441,2.0,3.0,3.0,7.0,10.0,14.0,16.0,18.0,16.0,11.0,212,712,13
442,2.0,3.0,4.0,8.0,10.0,14.0,16.0,2.0,21.0,20.0,344,580,13
443,0.0,0.0,0.0,0.0,4.0,4.0,19.0,19.0,19.0,35.0,477,443,17
444,3.0,5.0,7.0,10.0,18.0,24.0,30.0,1.0,1.0,1.0,552,353,32
445,2.0,11.0,11.0,11.0,17.0,17.0,3.0,3.0,3.0,22.0,552,378,7
446,0.0,1.0,11.0,2.0,2.0,22.0,3.0,2.0,33.0,24.0,730,196,11
447,0.0,0.0,0.0,0.0,10.0,0.0,0.0,30.0,30.0,30.0,487,425,25
448,1.0,2.0,4.0,8.0,10.0,13.0,14.0,13.0,18.0,17.0,196,724,17
449,6.0,7.0,7.0,9.0,13.0,16.0,19.0,23.0,0.0,0.0,420,499,18
450,5.0,5.0,9.0,14.0,17.0,20.0,30.0,0.0,0.0,0.0,498,419,20
451,3.0,3.0,3.0,2.0,16.0,19.0,17.0,6.0,28.0,3.0,533,384,20
452,1.0,3.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,142,770,25
453,0.0,0.0,0.0,0.0,20.0,20.0,0.0,30.0,30.0,0.0,596,320,21
454,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,610,299,28
455,0.0,0.0,0.0,0.0,0.0,18.0,19.0,20.0,21.0,22.0,372,559,6
456,1.0,1.0,3.0,3.0,1.0,15.0,6.0,22.0,28.0,20.0,461,470,6
457,2.0,2.0,2.0,1.0,17.0,19.0,21.0,6.0,6.0,24.0,589,335,13
458,1.0,6.0,1.0,14.0,1.0,20.0,1.0,25.0,1.0,30.0,674,247,16
459,0.0,0.0,1.0,9.0,11.0,14.0,15.0,18.0,11.0,21.0,255,667,15
460,3.0,7.0,0.0,1.0,12.0,0.0,21.0,15.0,21.0,20.0,402,524,11
461,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,610,299,28
462,6.0,6.0,3.0,3.0,2.0,15.0,14.0,17.0,17.0,17.0,248,674,15
463,0.0,4.0,0.0,13.0,0.0,25.0,0.0,37.0,0.0,21.0,474,396,67
464,0.0,0.0,0.0,0.0,17.0,21.0,29.0,0.0,0.0,33.0,696,231,10
466,2.0,3.0,6.0,1.0,1.0,1.0,15.0,20.0,23.0,28.0,478,446,13
467,2.0,2.0,13.0,1.0,16.0,1.0,26.0,3.0,4.0,32.0,603,329,5
468,0.0,0.0,5.0,18.0,18.0,19.0,20.0,20.0,0.0,0.0,410,519,8
469,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,399,531,7
470,5.0,6.0,6.0,7.0,8.0,9.0,9.0,8.0,3.0,39.0,445,480,12
472,1.0,5.0,7.0,2.0,12.0,14.0,17.0,2.0,20.0,20.0,357,567,13
473,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,491,437,9
474,3.0,5.0,5.0,0.0,10.0,10.0,15.0,18.0,17.0,17.0,204,728,5
475,4.0,4.0,5.0,8.0,10.0,12.0,16.0,18.0,20.0,3.0,278,640,19
476,4.0,4.0,6.0,6.0,6.0,7.0,19.0,19.0,19.0,10.0,277,625,35
477,5.0,5.0,5.0,5.0,15.0,20.0,0.0,0.0,25.0,20.0,458,475,4
478,1.0,1.0,1.0,12.0,14.0,2.0,2.0,2.0,30.0,35.0,729,206,2
479,3.0,3.0,3.0,0.0,13.0,14.0,16.0,18.0,18.0,12.0,256,673,8
480,1.0,7.0,1.0,11.0,17.0,20.0,1.0,1.0,40.0,1.0,461,472,4
481,4.0,5.0,8.0,10.0,15.0,2.0,23.0,2.0,27.0,4.0,602,317,18
482,13.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,29.0,589,345,3
483,0.0,0.0,0.0,0.0,15.0,26.0,31.0,0.0,0.0,28.0,605,328,4
484,1.0,1.0,1.0,15.0,17.0,1.0,1.0,1.0,30.0,32.0,774,161,2
485,1.0,1.0,1.0,1.0,17.0,18.0,19.0,20.0,21.0,1.0,447,480,10
486,1.0,1.0,7.0,9.0,1.0,1.0,20.0,20.0,20.0,20.0,398,527,12
487,0.0,0.0,1.0,16.0,1.0,24.0,1.0,28.0,1.0,28.0,734,197,6
